               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.064273,            0.011197,           0.0033842,             0.69416,             0.98529,             0.73635,             0.29697,            0.081452,            0.010199,           0.0036156,            0.007927,            0.007927,            0.007927
                  36,            0.064322,            0.010544,           0.0031827,             0.71927,                   1,             0.74548,             0.28539,            0.080096,           0.0098712,           0.0048854,            0.007816,            0.007816,            0.007816
                  37,            0.060613,            0.011341,           0.0038764,             0.71927,                   1,             0.74548,             0.28539,            0.080096,           0.0098712,           0.0048854,           0.0077031,           0.0077031,           0.0077031
                  38,            0.065534,            0.010272,           0.0037286,             0.60207,             0.77941,             0.61062,              0.2051,            0.084677,           0.0089798,           0.0049666,           0.0075886,           0.0075886,           0.0075886
                  39,            0.061121,            0.011456,             0.00409,             0.75506,             0.97059,             0.83551,             0.25347,            0.073101,            0.010496,           0.0049224,           0.0074725,           0.0074725,           0.0074725
                  40,            0.061843,            0.013317,           0.0046219,             0.88321,             0.83824,             0.90735,             0.26796,            0.076812,            0.010325,           0.0043533,            0.007355,            0.007355,            0.007355
                  41,            0.059467,            0.012164,           0.0038998,             0.93328,             0.88744,             0.92536,             0.38118,            0.076017,           0.0099323,           0.0037936,           0.0072361,           0.0072361,           0.0072361
                  42,            0.063186,            0.011367,           0.0034381,             0.93328,             0.88744,             0.92536,             0.38118,            0.076017,           0.0099323,           0.0037936,            0.007116,            0.007116,            0.007116
                  43,            0.056775,            0.012633,           0.0031913,             0.77214,             0.77899,             0.83165,             0.24626,            0.080848,           0.0092218,           0.0035577,           0.0069948,           0.0069948,           0.0069948
                  44,            0.058687,            0.011179,           0.0030841,             0.99208,                   1,             0.99502,             0.58844,            0.067128,            0.010506,           0.0034047,           0.0068726,           0.0068726,           0.0068726
                  45,            0.054524,            0.013191,           0.0029588,             0.96707,             0.97059,             0.96459,             0.41892,            0.064291,            0.010209,            0.003442,           0.0067495,           0.0067495,           0.0067495
                  46,            0.051373,            0.012042,           0.0030545,             0.89455,             0.97059,             0.94571,              0.3626,            0.062439,           0.0098635,           0.0029695,           0.0066257,           0.0066257,           0.0066257
                  47,            0.042639,           0.0088376,           0.0024309,             0.89455,             0.97059,             0.94571,              0.3626,            0.062439,           0.0098635,           0.0029695,           0.0065013,           0.0065013,           0.0065013
                  48,            0.052954,           0.0097752,           0.0026946,              0.7345,             0.94118,             0.87449,             0.29939,            0.065469,           0.0093255,           0.0027696,           0.0063764,           0.0063764,           0.0063764
                  49,            0.051236,            0.010905,           0.0025442,              0.9209,                   1,             0.96527,             0.52516,            0.054255,           0.0098952,           0.0025433,           0.0062512,           0.0062512,           0.0062512
                  50,             0.04232,            0.010723,           0.0023661,             0.92108,             0.99986,             0.96261,              0.5333,            0.059446,           0.0091711,            0.002626,           0.0061256,           0.0061256,           0.0061256
                  51,            0.048576,            0.010097,           0.0033218,             0.68195,                   1,             0.87205,             0.35085,            0.061402,           0.0088045,           0.0024073,               0.006,               0.006,               0.006
                  52,            0.052936,           0.0099473,           0.0024509,             0.68195,                   1,             0.87205,             0.35085,            0.061402,           0.0088045,           0.0024073,           0.0058744,           0.0058744,           0.0058744
                  53,            0.056872,            0.010709,           0.0025521,             0.68024,                   1,             0.78437,             0.34551,            0.066746,           0.0083343,           0.0024488,           0.0057488,           0.0057488,           0.0057488
                  54,            0.054077,           0.0097093,           0.0028139,             0.68111,                   1,             0.86905,             0.41593,            0.058079,           0.0089696,           0.0024946,           0.0056236,           0.0056236,           0.0056236
                  55,             0.04713,            0.010631,           0.0028675,             0.99745,                   1,             0.99502,             0.54865,            0.047728,           0.0099543,           0.0026373,           0.0054987,           0.0054987,           0.0054987
                  56,            0.045242,            0.012322,           0.0028181,              0.9165,                   1,             0.96398,             0.52824,            0.053545,           0.0090755,           0.0024586,           0.0053743,           0.0053743,           0.0053743
                  57,             0.04498,            0.010519,           0.0025401,              0.9165,                   1,             0.96398,             0.52824,            0.053545,           0.0090755,           0.0024586,           0.0052505,           0.0052505,           0.0052505
                  58,            0.052854,            0.010435,           0.0031451,             0.80012,             0.95588,             0.92549,             0.44814,            0.059228,           0.0086068,           0.0024383,           0.0051274,           0.0051274,           0.0051274
                  59,            0.046237,           0.0095879,           0.0023775,             0.83229,             0.93379,             0.93622,             0.54498,            0.048953,           0.0092435,           0.0024695,           0.0050052,           0.0050052,           0.0050052
                  60,            0.037311,            0.010789,           0.0020543,             0.90487,             0.87479,             0.94198,             0.58588,            0.043553,           0.0098542,           0.0025069,            0.004884,            0.004884,            0.004884
                  61,            0.037202,            0.011734,           0.0024527,             0.90483,             0.94065,             0.99502,             0.59736,            0.045935,           0.0094214,           0.0025827,           0.0047639,           0.0047639,           0.0047639
                  62,            0.039748,            0.011684,           0.0032314,             0.90483,             0.94065,             0.99502,             0.59736,            0.045935,           0.0094214,           0.0025827,            0.004645,            0.004645,            0.004645
                  63,            0.043623,            0.010919,           0.0029655,             0.85417,             0.93004,             0.99502,             0.57223,            0.051033,            0.008979,            0.002613,           0.0045275,           0.0045275,           0.0045275
                  64,            0.034899,            0.011069,           0.0024438,             0.85438,             0.93152,             0.99502,              0.6248,            0.047393,           0.0090754,           0.0025721,           0.0044114,           0.0044114,           0.0044114
                  65,            0.031698,            0.010704,           0.0023098,             0.90482,             0.98715,             0.99502,             0.66944,            0.038734,           0.0093753,           0.0025245,           0.0042969,           0.0042969,           0.0042969
                  66,            0.034953,            0.011387,           0.0025556,             0.99379,             0.99995,             0.99502,             0.65708,            0.037512,           0.0090057,           0.0023314,            0.004184,            0.004184,            0.004184
